Bar im Löwenkeller,Standardgruppe,47 FAVORITEN,Zuletzt bestellt vor 8 Monaten
Barbara Blotzki,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Barbara Bredow-Beck,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Barbier Jefferson,Standardgruppe,17 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Barcode Trend GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Barcode Trend GmbH dieroteBar,Standardgruppe,212 FAVORITEN,Zuletzt bestellt vor 23 Minuten
Bartagame Barservice GbR,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Barverkauf/Abholkunde/Privat,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Basement 11 - 1,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 20.10.25)
Basement 11 - 2,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 20.10.25)
Basys Gesellschaft für Anwend-,Standardgruppe,4 FAVORITEN,Zuletzt bestellt vor einem Jahr
Bauchgefühl,Standardgruppe,124 FAVORITEN,Zuletzt bestellt vor einem Jahr
Bauer + Fritzsch GbR,Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Bauer Steuerberatung - Laufamholzstr.,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Bauer Steuerberatung - Merianstr.,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
BayWa r.e. Solar Energy Systems GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 27.03.25)
Bayerische Gesellschaft für,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bayerische Staatsforsten Forstbetrieb Nürnberg,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor 4 Monaten
Bayraktar Sibel (Café S),Standardgruppe,50 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Bayreuth Feiert ehem. Breakout,Standardgruppe,70 FAVORITEN,Zuletzt bestellt vor 13 Tagen
Bayreuther Bier Erlebnis Welt,Standardgruppe,24 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Baywa r.e Solar Solutins,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
Beam Suntory Deutschland GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Beauty Box,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Becher-Castaldi,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Beck,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Beck Gewürze und Additive GmbH,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Becker,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Beef meats Wine GbR,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bei Peppino,Standardgruppe,72 FAVORITEN,Zuletzt bestellt vor 20 Stunden
Beim Almosmüller,Standardgruppe,36 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Bekky´s Bäck,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bel Hana Gastro GmbH,Standardgruppe,12 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Bela Lugosi,Standardgruppe,50 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Beleza Bar UG (haftungsbeschränkt),Standardgruppe,30 FAVORITEN,Noch keine Bestellung seit 3 Jahre
Beleza Event + Media GmbH,Standardgruppe,11 FAVORITEN,Noch keine Bestellung seit ein Jahr
Bella Italia da Alessandro,Standardgruppe,31 FAVORITEN,Noch keine Bestellung seit 3 Jahre
Bella Saki,Mittwoch,23 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Bella Saki GmbH,Mittwoch,FAVORITEN HINZUFÜGEN,Daten unvollständig
Ben Binder,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Benjamin Feistner,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor einem Monat
Benjamin Lochmann New Media GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
Benjamin Löhner,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 01.04.25)
Beny's,Freitag,93 FAVORITEN,Zuletzt bestellt vor 10 Tagen
Bera Pizza,Standardgruppe,14 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Berg,Standardgruppe,8 FAVORITEN,Noch keine Bestellung seit ein Jahr
Bergbrand GmbH,Standardgruppe,32 FAVORITEN,Zuletzt bestellt vor einem Tag
Berggasthof Ludwigshöhe,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Berggasthof am Rothenberg,Mittwoch,FAVORITEN HINZUFÜGEN,Daten unvollständig
Berghotel Rehlegg AG,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bernd Regenauer,Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Berner + Straller GmbH,Standardgruppe,20 FAVORITEN,Zuletzt bestellt vor 12 Tagen
Bernhard Grünewaldt,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Bert's Bar UG (haftungsbeschrä,Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Berufsfachschule für Hotelmana,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Berufsfachschule für Kosmetik,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Berufsgenossenschaft Rohstoffe und chemische Industrie Regionaldirektion Südost/Dezentrale Innere Dienste,Standardgruppe,2 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Best Nails & Beauty Salon,Standardgruppe,17 FAVORITEN,Noch keine Bestellung seit ein Jahr
Best Nails & Beauty Salon 3,Standardgruppe,13 FAVORITEN,Einladung noch nicht angenommen
Best in Brands GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bestattungen Burger Nachf.,Standardgruppe,3 FAVORITEN,Einladung noch nicht angenommen
Bestattungen Scifo,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Betolo,Standardgruppe,47 FAVORITEN,Zuletzt bestellt vor 7 Tagen
Better Two GbR,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Beutekiste Schwaig,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bev Concepts GmbH / Bar am Kirchplatz,Standardgruppe,309 FAVORITEN,Zuletzt bestellt vor einem Monat
Beyer,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bezirksgeschäftsstelle,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bierfässla Nürnberg,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bierfässla Nürnberg wg. KU,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Biergarten am Kunigundenberg,Standardgruppe,19 FAVORITEN,Zuletzt bestellt vor 3 Monaten
Bierwerk,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bierwirtschaft Nordostbahnhof,Standardgruppe,17 FAVORITEN,Zuletzt bestellt vor einem Monat
Biesterfeld Plastic,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Big Block Classic UG & Co. KG,Standardgruppe,65 FAVORITEN,Zuletzt bestellt vor einem Jahr
Bindergass-Apotheke Matthias,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Birkel‘s – Essundtrinkbar,Mittwoch,116 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Bisha Caffe & Bar,Standardgruppe,73 FAVORITEN,Zuletzt bestellt vor 20 Tagen
Bistro Galerie,Standardgruppe,7 FAVORITEN,Daten unvollständig
Bistro Schwalbengarten,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bistro zur Linde,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bit Stop Burger,Standardgruppe,16 FAVORITEN,Zuletzt bestellt vor 19 Stunden
Bit Stop Burger 2,Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor 16 Tagen
Black & White,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Black Bean GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Black Eagle GmbH der schwarzer Adler (Christian Brieske),Standardgruppe,10 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Black Horse,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 3 Monate
BlackBox Open GmbH & Co. KG,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Blackbox Nürnberg / Felix Kaden und Johanna Stuber GbR,Standardgruppe,29 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Blink GmbH,Standardgruppe,3 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Blue-Aura,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Blunique OHG,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Blütenstaub,Standardgruppe,47 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Bodega El Gato,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bohner,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Boho Lounge - House of Glock 'n' Roll,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 3 Jahre
BollWerk Engineering,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bom Bar,Dienstag,114 FAVORITEN,Zuletzt bestellt vor 10 Monaten
Bon Voyage,Standardgruppe,105 FAVORITEN,Zuletzt bestellt vor 7 Monaten
Boom Lounge,Standardgruppe,84 FAVORITEN,Zuletzt bestellt vor 5 Stunden
Bootshaus Amberg GmbH,Standardgruppe,7 FAVORITEN,Noch keine Bestellung seit 2 Jahre
Boris Hagel,Standardgruppe,7 FAVORITEN,Zuletzt bestellt vor 12 Tagen
Boteco,Standardgruppe,53 FAVORITEN,Zuletzt bestellt vor 20 Stunden
BouknanaUllingerSchlabritz GbR,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor 7 Monaten
Boulderhalle E4 GmbH & Co. KG,Standardgruppe,42 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Bounissimo Nürnberg KG,Standardgruppe,38 FAVORITEN,Zuletzt bestellt vor 3 Monaten
Bowl Mood,Freitag,17 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Bowlicious (im Flair Fürth),Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Boxelware GmbH,Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor einem Monat
Bozkurt,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bradt,Standardgruppe,10 FAVORITEN,Zuletzt bestellt vor einem Monat
Brake,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Brand Trust GmbH,Standardgruppe,21 FAVORITEN,Zuletzt bestellt vor einem Monat
Brand bestattungen,Standardgruppe,6 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Brasserie Nitz,Standardgruppe,24 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Bratan's Schaschlik,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
Bratwurstglöcklein Behringer,Standardgruppe,24 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Brede,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bremer Spirituosen Contor GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Briamonte,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Brieske,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Brio Bar & Restaurant,Standardgruppe,113 FAVORITEN,Zuletzt bestellt vor 9 Tagen
BrotZeit,Standardgruppe,24 FAVORITEN,Zuletzt bestellt vor 7 Monaten
Brothers Play,Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor einem Monat
Brothers im Lutzgarten,Standardgruppe,81 FAVORITEN,Zuletzt bestellt vor 19 Tagen
Brotzeit,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Brown,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bruch,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bruderherz GmbH,Standardgruppe,57 FAVORITEN,Zuletzt bestellt vor einem Tag
Brudi GmbH,Standardgruppe,28 FAVORITEN,Zuletzt bestellt vor einem Monat
Brunchery Zirndorf,Standardgruppe,25 FAVORITEN,Zuletzt bestellt vor 10 Monaten
Brunel GmbH,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor einem Tag
Brunner & Schmidt Datentechnik GmbH,Standardgruppe,9 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Brunner Tagesbar & Café,Standardgruppe,84 FAVORITEN,Zuletzt bestellt vor 4 Monaten
Bräustüberl zur Kanne,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Bucherer Deutschland GmbH,Standardgruppe,20 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Buddha Garden Nürnberg,Standardgruppe,61 FAVORITEN,Zuletzt bestellt vor einem Jahr
Bundesagentur Volker Saalfeld,Standardgruppe,1 FAVORITEN,Keine Einladung erstellt (Erstellt am 15.07.25)
Bungalow Kreativbuero GbR,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Buonissimo Holding GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Buonissimo Schwabach II KG,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 16.07.25)
Burchard und Polleter GbR,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Burger am Amt,Dienstag,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 3 Jahre
Burger'n Friends,Standardgruppe,89 FAVORITEN,Zuletzt bestellt vor einem Jahr
Burger-Garden Herpersdorf,Standardgruppe,24 FAVORITEN,Zuletzt bestellt vor 2 Jahren
BurgerBar Kuhmuhne GmbH,Standardgruppe,89 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Burgerheart Bamberg GmbH,Montag,62 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Burgerheart Bamberg GmbH Afri-Cola Abrechnung,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 28.08.24)
Burgerheart Erlangen GmbH,Mittwoch,50 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Burgerheart Fürth GmbH,Standardgruppe,85 FAVORITEN,Zuletzt bestellt vor 9 Tagen
Burgerheart Nürnberg GmbH,Standardgruppe,103 FAVORITEN,Zuletzt bestellt vor einem Tag
Burgerheart Nürnberg GmbH Afri-Cola Abrechnung,Standardgruppe,51 FAVORITEN,Zuletzt bestellt vor 8 Monaten
Burgerist,Standardgruppe,19 FAVORITEN,Zuletzt bestellt vor 22 Tagen
Burghotel Nürnberg GmbH,Standardgruppe,16 FAVORITEN,Einladung noch nicht angenommen
Burgschänke,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Burista Restaurant,Mittwoch,100 FAVORITEN,Zuletzt bestellt vor einem Jahr
Burschicoos,Standardgruppe,95 FAVORITEN,Zuletzt bestellt vor 7 Tagen
Butlers,Standardgruppe,3 FAVORITEN,Zuletzt bestellt vor 21 Tagen
BÖRGERS Rechtsanwälte,Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor 3 Monaten
Bäcker Feihl - Adamstraße,Bäcker Feihl Gruppe,20 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Altdorfer Straße,Bäcker Feihl Gruppe,16 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Bäcker Feihl - Berchinger Straße 30,Bäcker Feihl Gruppe,20 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Bregenzer Straße,Bäcker Feihl Gruppe,24 FAVORITEN,Zuletzt bestellt vor 15 Tagen
Bäcker Feihl - Burgschmietstraße,Bäcker Feihl Gruppe,21 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Bäcker Feihl - Centrum 12,Bäcker Feihl Gruppe,19 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Bäcker Feihl - Dammstraße 1,Bäcker Feihl Gruppe,21 FAVORITEN,Zuletzt bestellt vor 13 Stunden
Bäcker Feihl - Deidesheimer Straße,Bäcker Feihl Gruppe,18 FAVORITEN,Zuletzt bestellt vor 17 Tagen
Bäcker Feihl - Dombühler Straße,Bäcker Feihl Gruppe,20 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Bäcker Feihl - Dr.-Gustav-Heinemann-Straße,Bäcker Feihl Gruppe,19 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Fürther Straße,Bäcker Feihl Gruppe,25 FAVORITEN,Zuletzt bestellt vor einem Monat
Bäcker Feihl - Hans-Vogel-Straße,Bäcker Feihl Gruppe,25 FAVORITEN,Zuletzt bestellt vor 15 Stunden
Bäcker Feihl - Happurger Straße,Bäcker Feihl Gruppe,16 FAVORITEN,Zuletzt bestellt vor 3 Tagen
Bäcker Feihl - Holzgartenstraße,Bäcker Feihl Gruppe,16 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Bäcker Feihl - Kaiserstraße,Bäcker Feihl Gruppe,15 FAVORITEN,Keine Einladung erstellt (Erstellt am 16.06.25)
Bäcker Feihl - Kilianstraße,Bäcker Feihl Gruppe,15 FAVORITEN,Zuletzt bestellt vor 15 Tagen
Bäcker Feihl - Lorenzer Straße,Bäcker Feihl Gruppe,21 FAVORITEN,Zuletzt bestellt vor 4 Tagen
Bäcker Feihl - Maria-Hilf-Straße,Bäcker Feihl Gruppe,19 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Matthäus-Hermann-Platz,Bäcker Feihl Gruppe,1 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Mimberger Straße 43,Bäcker Feihl Gruppe,7 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Neuburger Straße,Bäcker Feihl Gruppe,9 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Bäcker Feihl - Neumarkter Straße,Bäcker Feihl Gruppe,21 FAVORITEN,Zuletzt bestellt vor 14 Stunden
Bäcker Feihl - Neumarkter Straße 14a,Bäcker Feihl Gruppe,15 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Bäcker Feihl - Nürnberger Straße,Bäcker Feihl Gruppe,15 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Oppelner Straße,Bäcker Feihl Gruppe,14 FAVORITEN,Zuletzt bestellt vor 13 Stunden
Bäcker Feihl - Regensburger Straße,Bäcker Feihl Gruppe,25 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Schwabacher Straße 19,Bäcker Feihl Gruppe,23 FAVORITEN,Zuletzt bestellt vor 8 Tagen
Bäcker Feihl - Schwabacher Straße 5,Bäcker Feihl Gruppe,18 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäcker Feihl - Schweinauer Hauptstraße,Bäcker Feihl Gruppe,19 FAVORITEN,Zuletzt bestellt vor 8 Tagen
Bäcker Feihl - Thüringer Straße,Bäcker Feihl Gruppe,22 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Bäcker Feihl - Zollhausstraße,Bäcker Feihl Gruppe,17 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Bäcker Feihl - Äußere Bayreuther Straße,Bäcker Feihl Gruppe,23 FAVORITEN,Zuletzt bestellt vor 7 Tagen
Bäckerei Feihl - Filiale Nbg HBF,Bäcker Feihl Gruppe,20 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäckerei Feihl - Filiale Ob. Markt,Bäcker Feihl Gruppe,16 FAVORITEN,Zuletzt bestellt vor einem Tag
Bäckerei Feihl - Filiale Pölling,Bäcker Feihl Gruppe,21 FAVORITEN,Zuletzt bestellt vor 12 Stunden
Bäckerei Pillipp KG,Mittwoch,88 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Bäckerei Schmid GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bäckerei Woitinek GmbH & Co. KG,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bär & Kuhnert GmbH,Standardgruppe,1 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Bär Kühhorn Architekten GmbH,Standardgruppe,4 FAVORITEN,Noch keine Bestellung seit 9 Monate
Böckling GmbH & Co. KG,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Böhnisch,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Bündnis 90 Die Grünen,Standardgruppe,22 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Bürgermeisteramt,Standardgruppe,4 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Büro für Deutsche Vermögensbe-,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
B’ACE,Standardgruppe,44 FAVORITEN,Zuletzt bestellt vor 3 Jahren
C'era Una Volta,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
CANCOM ICT Service GmbH,Standardgruppe,10 FAVORITEN,Noch keine Bestellung seit 8 Monate
CARE Vision Germany GmbH,Standardgruppe,3 FAVORITEN,Einladung noch nicht angenommen
CAROMA,Standardgruppe,12 FAVORITEN,Zuletzt bestellt vor einem Monat
CDC Gastro GmbH,Standardgruppe,27 FAVORITEN,Zuletzt bestellt vor 2 Tagen
CEundCO GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
CHESI Messerschleiferei,Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor 5 Monaten
CHREW'S UG,Standardgruppe,14 FAVORITEN,Noch keine Bestellung seit 2 Jahre
CINECITTA Multiplexkino GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
CITO-SYSTEM GmbH,Standardgruppe,4 FAVORITEN,Zuletzt bestellt vor einem Monat
COO Corporate Service - Global,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
COSTOLUTO | Sparkstill GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
CREATURE Immobilien GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
CUBA,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
CUVINI GmbH,Freitag,35 FAVORITEN,Zuletzt bestellt vor 5 Tagen
CVJM Nürnberg-Gostenhof e.V.,Standardgruppe,9 FAVORITEN,Zuletzt bestellt vor einem Monat
Caesar's,Standardgruppe,165 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Cafe Bar Cucina Laumer wg. KU,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Cafe Bar Habana,Standardgruppe,30 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Cafe Bar Markiz,Standardgruppe,112 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Cafe Bar Neon,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Cafe Bel Ami,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Cafe Extrablatt Nürnberg,Standardgruppe,105 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Cafe FaBene,Standardgruppe,61 FAVORITEN,Zuletzt bestellt vor einem Monat
Cafe Hase und Igel,Standardgruppe,22 FAVORITEN,Zuletzt bestellt vor einem Jahr
Cafe Hexenhäuschen,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Cafe Ili,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Cafe Kiosk,Standardgruppe,29 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Cafe Parga wg. KU,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Cafe Replay,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Cafe Sport Bavaria,Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor 21 Tagen
Cafe Wesh,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Cafe und Bar Leone,Standardgruppe,49 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Caffe Bar Aprico,Standardgruppe,69 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Caffe Bar Bianco,Standardgruppe,76 FAVORITEN,Zuletzt bestellt vor einem Jahr
Caffe Zeit,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Caffee People,Standardgruppe,53 FAVORITEN,Zuletzt bestellt vor 7 Tagen
Caffé - Bar Centrale Constanti,Standardgruppe,87 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Caffé Fatal,Standardgruppe,73 FAVORITEN,Zuletzt bestellt vor 4 Stunden
Cafè Eders.,Mittwoch,31 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Cafè Michels,Standardgruppe,28 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Café Bar Abseits,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Café Bar Franco,Standardgruppe,23 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Café Bar Piazetta,Standardgruppe,29 FAVORITEN,Zuletzt bestellt vor einem Jahr
Café Bar Unique,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Café Bar Willich,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Café Bar Zetra,Standardgruppe,6 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Café Barrio,Standardgruppe,47 FAVORITEN,Zuletzt bestellt vor 4 Monaten
Café Bel Fiore,Standardgruppe,22 FAVORITEN,Zuletzt bestellt vor 23 Tagen
Café Bistro Herrlich,Standardgruppe,49 FAVORITEN,Zuletzt bestellt vor 7 Monaten
Café Bistro Werkvolk,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Café Bleiweiß,Standardgruppe,39 FAVORITEN,Zuletzt bestellt vor einem Tag
Café Brazil,Mittwoch,9 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Café Cairo,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Café Central,Standardgruppe,6 FAVORITEN,Noch keine Bestellung seit 6 Monate
Café Dreizehn,Standardgruppe,32 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Café Egg,Standardgruppe,21 FAVORITEN,Zuletzt bestellt vor einem Monat
Café FUX,Freitag,30 FAVORITEN,Zuletzt bestellt vor 8 Tagen
Café Fink,Standardgruppe,28 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Café Fink wg. KU,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Café Florian GmbH,Standardgruppe,29 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Café Gingko - Poke Bowl,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Café Gold Erlangen,Mittwoch,FAVORITEN HINZUFÜGEN,Daten unvollständig
Café Herzkaffee,Standardgruppe,85 FAVORITEN,Zuletzt bestellt vor 16 Tagen
Café Kraft GmbH,Standardgruppe,51 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Café Ladida,Standardgruppe,26 FAVORITEN,Zuletzt bestellt vor 3 Jahren
